id,image_id,caption,filename0,filename1
602744,198775,A small car in a small parking space.,coco2017/train2017/000000198775.jpg,coco_latent_t2i/train2017/ann000000602744.png
673165,257036,A cat sits atop a night stand next to a bike.,coco2017/train2017/000000257036.jpg,coco_latent_t2i/train2017/ann000000673165.png
204977,68114,a city street with red stoplights and tall trees.,coco2017/train2017/000000068114.jpg,coco_latent_t2i/train2017/ann000000204977.png
348203,563964,A man in the middle of throwing a frisbee.,coco2017/train2017/000000563964.jpg,coco_latent_t2i/train2017/ann000000348203.png
427404,312795,a womans legs wearing black shoes standing on a green and white suitcase,coco2017/train2017/000000312795.jpg,coco_latent_t2i/train2017/ann000000427404.png
433340,199404,a curly haired girl with glasses takes a selfie infront of the mirror,coco2017/train2017/000000199404.jpg,coco_latent_t2i/train2017/ann000000433340.png
92748,520572,Three people sitting a horse drawn buggy on a country side road.,coco2017/train2017/000000520572.jpg,coco_latent_t2i/train2017/ann000000092748.png
731044,488004,A cat is laying in a piece of luggage.,coco2017/train2017/000000488004.jpg,coco_latent_t2i/train2017/ann000000731044.png
214769,478769,A small bird sitting on top of a wire next to green grass.,coco2017/train2017/000000478769.jpg,coco_latent_t2i/train2017/ann000000214769.png
815244,319487,A person is in protective motorcycle gear sitting on the ground.,coco2017/train2017/000000319487.jpg,coco_latent_t2i/train2017/ann000000815244.png
481914,467314,A kitchen that has a wooden cabinets with a wine holder.,coco2017/train2017/000000467314.jpg,coco_latent_t2i/train2017/ann000000481914.png
74570,276387,A snow covered soiled toilet sitting in front of a house.,coco2017/train2017/000000276387.jpg,coco_latent_t2i/train2017/ann000000074570.png
753440,530313,A group of people sit near each other and pose for a picture.,coco2017/train2017/000000530313.jpg,coco_latent_t2i/train2017/ann000000753440.png
274536,504891,Several birds have landed on an ice covered body of water.,coco2017/train2017/000000504891.jpg,coco_latent_t2i/train2017/ann000000274536.png
210799,364133,Three suitcases sit on the ground next to a rolling table.,coco2017/train2017/000000364133.jpg,coco_latent_t2i/train2017/ann000000210799.png
